Artist,Nationality,Gender,BeginDate,EndDate,Museum,Ethnicity,SmallMuseum,Race
Julius Gipkens,Unknown,Unknown,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Julius K. Friedman,American,Male,1943.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Julius Klinger,Austrian,Male,1876.0,1942.0,Museum of Modern Art,Unknown,No,Unknown
Julius Koller,Slovak,Male,1939.0,2007.0,Museum of Modern Art,Unknown,No,Unknown
Julius Kroll,Unknown,Unknown,Unknown,Unknown,National Gallery of Art,Unknown,No,Unknown
Julius Kumjati,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Julius L. Stewart ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Julius Schmidt,American,Male,1923.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Julius Thiengen Bloch,American,Male,1888.0,1966.0,Museum of Modern Art,Unknown,No,Unknown
Julius Ulke,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Julius Vannerson,American,Male,1827.0,1875.0,Museum of Modern Art,Unknown,No,Unknown
Julius Wolfgang Schulein ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Juliusz Studnicki,Polish,Male,1906.0,1978.0,Museum of Modern Art,Unknown,No,Unknown
Julião Sarmento,Portuguese,Male,1948.0,2021.0,Museum of Modern Art,Unknown,No,Unknown
Jumana Manna,Palestinian,Female,1987.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jun Dobashi,Japanese,Male,1910.0,1975.0,Museum of Modern Art,Unknown,No,Unknown
Jun Iseyama,Japanese,Female,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jun Kaneko,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Asian
Jun Miki,Japanese,Male,1919.0,1992.0,Museum of Modern Art,Unknown,No,Unknown
Jun Nguyen-Hatsushiba,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,Asian
Jun Shiraoka,Japanese,Male,1944.0,2016.0,Museum of Modern Art,Unknown,No,Unknown
Jun Tabohashi,Japanese,Male,1931.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jun Yang,Chinese,Male,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jun'ichiro Sekino,Japanese,Male,1914.0,1988.0,Museum of Modern Art,Unknown,No,Unknown
Jun-ichi Arai,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
June Redfern,British,Female,1951.0,0.0,Museum of Modern Art,Unknown,No,Unknown
June Wayne ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Jungjin Lee,South Korean,Female,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Junichi Arai,Japanese,Male,1932.0,2017.0,Museum of Modern Art,Unknown,No,Unknown
Junichi Itahashi,Japanese,Male,1942.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Junius Redwood,American,Male,1917.0,1991.0,Museum of Modern Art,Unknown,No,Unknown
Junya Ishigami,Japanese,Unknown,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Junzo Yoshimura,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Asian
Jupp Wiertz,German,Male,1881.0,1939.0,Museum of Modern Art,Unknown,No,Unknown
Juraj Neidhardt,Croatian,Male,1901.0,1979.0,Museum of Modern Art,Unknown,No,Unknown
Jurgen Bey,Dutch,Male,1965.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jurgen Habermas,German,Male,1929.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jurgen Ovens,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Juryo Mitsumasa,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,Asian
Jusepe de Ribera,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Jussef Abbo,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Jussuf Abbo,Palestinian,Male,1888.0,1953.0,Museum of Modern Art,Unknown,No,Unknown
Justen Ladda,German,Male,1953.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Justin Kimball,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Justin Knowles,British,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Justin Matherly,American,Male,1972.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Justin-J. Gabriel,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Justine Kurland,American,Female,1969.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Justine Otto,German,Female,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Justino Fernández,Mexican,Male,1904.0,1972.0,Museum of Modern Art,Unknown,No,Unknown
Justino Serralta,Uruguayan,Male,1919.0,2011.0,Museum of Modern Art,Unknown,No,Unknown
Justus (Juste) Chevillet,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Justus van Egmont,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Jutta Koether,German,Female,1958.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Juul Kraijer,Dutch,Male,1970.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Juvenal Sans&ograve;,Unknown,Male,Unknown,Unknown,National Gallery of Art,Hispanic,No,Unknown
Juvenal Sansó,Spanish,Male,1929.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jyoti Bhatt,Indian,Male,1934.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jyrki Markkanen,Finnish,Unknown,1956.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Ján Mančuška,Czech,Male,1972.0,2011.0,Museum of Modern Art,Unknown,No,Unknown
Jérôme De Perlinghi,Belgian,Male,1961.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jóhanna Boga,Icelandic,Female,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jóhannes Sveinsson Kjarval,Icelandic,Male,1885.0,1972.0,Museum of Modern Art,Unknown,No,Unknown
József Pécsi,Hungarian,Male,1889.0,1956.0,Museum of Modern Art,Unknown,No,Unknown
Jöelle de la Casinière,French,Female,1944.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jörg Hamburger,Swiss,Male,1935.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jörg Herold,German,Male,1965.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jörg Immendorff,German,Male,1945.0,2007.0,Museum of Modern Art,Unknown,No,Unknown
Jörg Schlick,Austrian,Male,1951.0,2005.0,Museum of Modern Art,Unknown,No,Unknown
Jørgen Haugen Sørensen,Danish,Male,1934.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jürgen Brodwolf,Swiss,Male,1932.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jürgen Greubel,German,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jürgen Klauke,German,Male,1943.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jürgen Mayer H.,German,Male,1965.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jürgen Partenheimer,German,Male,1947.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Jüri Arrak,Estonian,Male,1936.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. A. Aivazovskii,Russian,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. H. Hödicke,German,Male,1938.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. Himmelreich,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
K. Hinterberger,German,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. Kuznetsov,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. P. Brehmer,German,Male,1938.0,1997.0,Museum of Modern Art,Unknown,No,Unknown
K. Turganov,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K. Zotov,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K.E.B.,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K.O.S. (Kids of Survival),American,Unknown,1982.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K2 Design Studio,Japanese,Unknown,1993.0,0.0,Museum of Modern Art,Unknown,No,Unknown
K<U+014D> S<U+016B>koku ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
K<U+014D>ichi ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
KA?lbl Anton,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,White
KCHO ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Hispanic,No,Unknown
Kacie Kinzer,American,Female,1983.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kader Attia,French,Male,1970.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kahlil Robert Irving,American,Male,1992.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kahn Max,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,White
Kai Althoff,German,Male,1966.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kai-Olaf Hesse,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Kaigetsud?,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Asian
Kain May,Polish,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kaj Franck,Finnish,Male,1911.0,1989.0,Museum of Modern Art,Unknown,No,Unknown
Kalup Linzy,American,Male,1977.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kamala Ibrahim Ishag,Sudanese,Female,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Kambe,Unknown,Unknown,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Kamen Stoyanov,Bulgarian,Male,1977.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kamoinge Workshop,Unknown,Unknown,1963.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kan<U+014D> Yukinobu ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Kanamori Yoshio,Japanese,Male,1922.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kananginak,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Other,No,Unknown
Kanaya Gorosaburo IX,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
Kandis Williams,American,Female,1985.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kanji Hongu,Japanese,Male,1945.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kano Hogai,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Asian
Kano Tan'y<U+016B> ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Kanuge John Bosco,Ugandan,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Kaoru Kawano,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,Asian
Kara Walker,Unknown,Female,Unknown,Unknown,The Phillips Collection,African-American,Yes,Unknown
Karekin Goekjian,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Other,No,Unknown
Karel Appel,Dutch ,Male,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Karel Frantisek T&ouml;pper,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Karel Maes,Belgian,Male,1900.0,1974.0,Museum of Modern Art,Unknown,No,Unknown
Karel Nel,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Karel Teige,Czech,Male,1900.0,1951.0,Museum of Modern Art,Unknown,No,Unknown
Karel Vaca,Czech,Male,1919.0,1989.0,Museum of Modern Art,Unknown,No,Unknown
Karen Carson ,Unknown,Female,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Karen Eubel,American,Female,1942.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen Finley,American,Female,1956.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen Heagle,American,Female,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen Kilimnik,American,Female,1955.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen Klugman,American,Female,1946.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen Knorr,Unknown,Female,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Karen Kunc,American,Female,1952.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karen M. Strom,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Karen MacDonald,Unknown,Female,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Karen Reimer,American,Female,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Unknown
Kari Virtanen,Finnish,Male,1948.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karin Apollonia Müller,German,Female,1963.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karin Ludlow,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Unknown
Karin Schou Andersen,Danish,Female,1953.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karin Stegmaier,Unknown,Female,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Karin SzACkessy,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Karl Alexander Brendel,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Karl Anton Fleck,Austrian,Male,1928.0,1983.0,Museum of Modern Art,Unknown,No,Unknown
Karl Aug. Grossman,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Karl Baden,American,Male,1952.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karl Bauer,German,Male,1868.0,1942.0,Museum of Modern Art,Unknown,No,Unknown
Karl Blechen,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Karl Bohrmann,German,Male,1928.0,1998.0,Museum of Modern Art,Unknown,No,Unknown
Karl Caspar,German,Male,1879.0,1956.0,Museum of Modern Art,Unknown,No,Unknown
Karl Caspar ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Karl Casper,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Karl Drerup,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Karl E. Kipp ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Karl Edelman,American,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karl Elsener,Swiss,Unknown,1860.0,1918.0,Museum of Modern Art,Unknown,No,Unknown
"Karl Emanuel Martin ""Kem"" Weber",Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Karl Fortess,American,Male,1907.0,1993.0,Museum of Modern Art,Unknown,No,Unknown
Karl Fred Dahmen,German,Male,1917.0,1981.0,Museum of Modern Art,Unknown,No,Unknown
Karl Free,American,Male,1903.0,1947.0,Museum of Modern Art,Unknown,No,Unknown
Karl Grill,Austrian,Male,1889.0,1966.0,Museum of Modern Art,Unknown,No,Unknown
Karl Hagenauer,Austrian,Male,1898.0,1956.0,Museum of Modern Art,Unknown,No,Unknown
Karl Jacob Hirsch,German,Male,1892.0,1952.0,Museum of Modern Art,Unknown,No,Unknown
Karl Kasten,American,Male,1916.0,2010.0,Museum of Modern Art,Unknown,No,Unknown
Karl Koepping,German,Male,1848.0,1914.0,Museum of Modern Art,Unknown,No,Unknown
Karl L. H. Mueller,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Karl Ludwig Straub,German,Male,1900.0,1997.0,Museum of Modern Art,Unknown,No,Unknown
Karl Ludwig Willdenow,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Karl Mattern,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Karl Opfermann,German,Male,1891.0,1960.0,Museum of Modern Art,Unknown,No,Unknown
Karl Opfermann ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Karl Otten,German,Male,1889.0,1963.0,Museum of Modern Art,Unknown,No,Unknown
Karl Perl,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Karl Reinhard Krueger,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Karl Ritter ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Karl Schamal,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Karl Schmidt-Rottluff,German,Male,1884.0,1976.0,Museum of Modern Art,Unknown,No,Unknown
Karl Schrag,American,Male,1912.0,1995.0,Museum of Modern Art,Unknown,No,Unknown
Karl Struss,American,Male,1886.0,1981.0,Museum of Modern Art,Unknown,No,Unknown
Karl Trabert,German,Male,0.0,1968.0,Museum of Modern Art,Unknown,No,Unknown
Karl Walser,Swiss,Male,1877.0,1943.0,Museum of Modern Art,Unknown,No,Unknown
Karl-Peter Röhl,German,Male,1890.0,1975.0,Museum of Modern Art,Unknown,No,Unknown
Karla Black,Unknown,Female,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Karla Knight,American,Female,1958.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Karlheinz Stockhausen,German,Male,1938.0,2007.0,Museum of Modern Art,Unknown,No,Unknown
Karol Hiller ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Kase2 (Jeff Brown),American,Male,1958.0,2011.0,Museum of Modern Art,Unknown,No,Unknown
Kashiwabaraya Seiemon,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
Kason Suzuki,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Unknown
Kasper König,German,Male,1940.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kasumi Setsuo ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
KatA? TarA?,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Asian
Katalin Ladik,Hungarian,Female,1942.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kataro Shirayamadani,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Asian
Kate Beynon,Australian,Female,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Kate Blacklock,Unknown,Female,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Kate Crawford,Australian,Female,1976.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kate Harris,British,Female,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kate Millett,American,Female,1934.0,2017.0,Museum of Modern Art,Unknown,No,Unknown
Kate Shepherd,American,Female,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Kate Steinitz,American,Female,1889.0,1975.0,Museum of Modern Art,Unknown,No,Unknown
Katerina Lanfranco,Canadian,Female,1978.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katerina Seda,Unknown,Female,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kathan Brown,American,Female,1935.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Bosse,German,Female,1968.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Gaenssler,German,Female,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Grosse,German,Female,1961.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Hager,Unknown,Female,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Heise (Karl Luis Heinrich-Salze),German,Female,1891.0,1964.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Sieverding,German,Female,1944.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharina Wulff,German,Female,1968.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katharine Schäffner,Austrian,Female,1884.0,1931.0,Museum of Modern Art,Unknown,No,Unknown
Katherine M. Turczan,Unknown,Female,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Katherine McCoy ,Unknown,Female,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Katherine S. Dreier,American,Female,1877.0,1952.0,Museum of Modern Art,Unknown,No,Unknown
Katherine Schmidt,American,Female,1898.0,1978.0,Museum of Modern Art,Unknown,No,Unknown
Katherine Turczan,American,Female,1965.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katherine Wetzel ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Kathleen Agnoli,American,Female,1945.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kathleen Cronin Doyle,Unknown,Female,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
Kathleen Packlick,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Kathleen Schimert,Unknown,Female,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,White
Kathryn VanDyke,Unknown,Female,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Kathy Acker,American,Female,1947.0,1997.0,Museum of Modern Art,Unknown,No,Unknown
Kathy Butterly,American,Female,1963.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kathy High,American,Female,1954.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kathy Muehlemann,American,Female,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
Kati Horna,Mexican,Female,1912.0,2000.0,Museum of Modern Art,Unknown,No,Unknown
Katie Kirtland,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Katja Strunz,German,Female,1970.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katsuhiro Yamaguchi,Japanese,Male,1928.0,2018.0,Museum of Modern Art,Unknown,No,Unknown
Katsuji Fukuda,Japanese,Male,1898.0,1991.0,Museum of Modern Art,Unknown,No,Unknown
Katsuji Wakisaka,Unknown,Unknown,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Asian
Katsukawa Shunk<U+014D> II ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Katsukawa Shunsen,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Asian
Katsukawa Shunzan,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Asian
Katsuma Ryusui,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Asian
Katsunori Hamanishi,Japanese,Male,1949.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katsuro Yoshida,Japanese,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katsuya Taka,Japanese,Male,1963.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katy Grannan,American,Female,1969.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Katy Schimert,American,Female,1963.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kawaguchiya Chozo,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Asian
Kawai Kanjir<U+014D> ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Kawakami Sumio,Japanese,Male,1895.0,1972.0,Museum of Modern Art,Unknown,No,Unknown
Kawanabe KyA?sai,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Asian
Kawanishi Hide,Japanese,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kawasaki Kazuo,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Asian
Kawase Hasui,Japanese,Male,1883.0,1957.0,Museum of Modern Art,Unknown,No,Unknown
Kawashima Riichir<U+014D> ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Kaworu Usui,Japanese,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kay Hassan,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,Black
Kay Railson ,Unknown,Female,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Kayrock and Wolfy,American,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kayserzinn Workshop,German,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kaz Oshiro,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,Asian
Kazan Yokoyama,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Asian
Kazimir Malevich,Russian,Male,1878.0,1935.0,Museum of Modern Art,Unknown,No,Unknown
Kazuhiro Ueno,Japanese,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazuhiro Yamanaka,Japanese,Male,1971.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazuko Miyamoto,Japanese,Female,1942.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazumasa Nagai,Japanese,Male,1929.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazuo Kawasaki,Japanese,Male,1949.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazuo Nakamura,Canadian,Male,1926.0,2002.0,Museum of Modern Art,Unknown,No,Unknown
Kazuo Shiraga,Japanese,Male,1924.0,2008.0,Museum of Modern Art,Unknown,No,Unknown
Kazutoshi,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Asian
Kazuya Sakai,Argentine,Unknown,1927.0,2001.0,Museum of Modern Art,Unknown,No,Unknown
Kazuyo Sejima,Japanese,Female,1956.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kazuyo Sejima & Associates,Japanese,Unknown,1987.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kcho,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Hispanic,No,Unknown
Keegan McHargue,American,Male,1982.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Kees van Dongen,French,Male,1877.0,1968.0,Museum of Modern Art,Unknown,No,Unknown
Kehinde Wiley,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,Black
Keigo Yamamoto,Japanese,Male,1936.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Keiichi Tahara,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Asian
Keiichi Tanaami,Japanese,Male,1936.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Keiji Otani,Japanese,Male,1967.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Keiji Uematsu,Japanese,Male,1947.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Keiko Hara,Unknown,Female,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Asian
Keiko Minami,Japanese,Female,1911.0,2004.0,Museum of Modern Art,Unknown,No,Unknown
Keisai Eisen,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Asian
Keisuke Serizawa,Japanese,Male,1895.0,1984.0,Museum of Modern Art,Unknown,No,Unknown
Keita Takahashi,Japanese,Male,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Keith Achepohl,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Keith Achepol,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
